№,CD компании,Краткое название,Полное название,Web сайт,Какие услуги предоставляет,Описание 
11,ESE,ESE,European School of English,http://ese-edu.com/,Обучение английскому языку на Мальте,"ESE has been offering quality General English, Business English and exam preparation courses to students of all ages from all over the world since 1996 – that’s over 15 years of experience in the field of quality language travel."
12,ETC,ETC,ETC International College,http://www.etc-inter.net/,Обучение Английскому языку в Британии,ETC International College is a Highly Trusted Sponsor and is licensed by the UK Border Agency to enrol international students under Tier 4 of the Points Based System. - See more at: http://www.etc-inter.net/#sthash.DVsCmZQI.dpuf
13,FU,F+U,F+U Languages Academy,http://en.fuu-languages.com/,"Обучение Английскому, немецкому, испанскому, франузскому, китайскому, итальянскому, японскому, русскому и арабскому языку в  Германии в городах Дармштадт,Хайдельберг и Берлин","The F+U Academy of Languages is one of the biggest European language schools and has partners across the globe. The academy is part of the non-profit F+U group of companies, which was founded in 1980 and is one of the leading education providers in Germany.

Renowned for its diverse educational programme, its international character and excellent value for money, the F+U Academy of Languages also sets itself apart from the crowd with its decades of teaching experience, its state recognised vocational school for foreign language careers, its international test centre and its extensive network of memberships and partnerships with other education providers.

The headquarters of the F+U Academy of Languages are situated in Heidelberg and further training centres in Berlin and Darmstadt. The schools are located directly in the city centre and are easily accessible by public transport."
14,ILAC,ILAC,International  Language Academy  of Canada,http://www.ilac.com/ru-ru/,"Обучение Английскому языку в Канаде, в городах: Торонто и Ванкувер","LAC – ведущая школа английского языка в Канаде и одна из наиболее успешных школ в мире.
С более чем 15-летним опытом предоставления первоклассных программ изучения английского языка, ILAC привлекает студентов и специалистов из более чем 70 различных стран.
ILAC предлагает высококачественные курсы английского языка для всех уровней и целей и обеспечивает безопасное и доступное по стоимости размещение, захватывающие экскурсии и мероприятия и бесплатное зачисление в колледжи и университеты.
Для нас большая честь, что бывшие и настоящие студенты говорят нам, что мы изменили их жизнь в лучшею сторону. Приежайте учиться в ILAC и дайте нам возможность изменить и вашу жизнь тоже в лучшую сторону."
15,inlingua,inlingua,Internationale inlingua Sprachschule ,http://www.inlingua.com/index-contact.aspl,Обучение языкам по всему миру,"Сегодня Инлингва - одна из крупнейших в мире ассоциаций частных языковых школ, глобальная сеть, объединяющая около 300 школ в более чем 30 странах на пяти континентах.
Такого успеха компания добилась благодаря тому, что все школы ассоциации поддерживают общие для всех школ стандарты организации обучения:"
16,ITIS,ITIS,ITIS Malta Tourism Institute,http://itismalta.com/home,Обучение английскому языку на Мальте,"ITIS Malta has the same objectives and missions as all other ITIS partners. It is committed to advance education and training in and for industry and by a diversity of means encourage and develop creativity and learning, for the benefit of the community in the country in which the Institute's students reside. To advance, preserve and disseminate knowledge and culture through teaching and the influence and example of corporate life to promote wisdom and understanding. Our mission is to provide every student with the best possible opportunity to acquire relevant up-to-date knowledge of the subject area of International Tourism Management and to develop skills appropriate to his or her present and likely future needs. Our mission permeates and underpins our approach to teaching and learning. The particular needs, and therefore the particular combination of knowledge and skills required varies greatly from one group of students to the other, mainly because of the diversity of nationalities in student body and the various first job destinations which are likely to arise."
17,KAP,Kaplan,Kaplan international English,http://www.kaplaninternational.com/rus/,Обучение английскому языку за рубежом,"Kaplan international English - один из мировых лидеров в области образовательных услуг. Более 40 школ Kaplan расположены в восьми англоязычных странах мира, от Канады до Новой Зеландии. Компания предоставляет качественное и высококлассное образование за границей в сочетании с интересной развлекательной программой."
18,NSTS,NSTS,NSTS Education Mobility Lifestyle,http://nsts.org/,Обучение английскому языку на Мальте,"Founded in 1963, NSTS was the first English Language School to operate in Malta.  NSTS is also a founding member of the Federation of English Language Teaching Organizations (FELTOM) set up in 1989 to promote quality standards nationally. NSTS established the codes of conduct for good practices and led FELTOM to becoming internationally recognized as the quality overseer for Maltese English Language Teaching Schools."
19,SEC,SEC,Study English in Canada,http://www.sec-canada.com/contactus.html,"Обучение Английскому языку в Канаде, в городах: Торонто и Ванкувер","SEC offers high quality programs to help students study and improve their English Language Skills. We offer unique ESL classes that will satisfy any focus or requirements. Take a look at our programs and choose the one for you!
"
20,Skylark,Skylark,Skylark School of English,http://www.skylarkmalta.com/ru/home.htm,Обучение английскому языку на Мальте,"Школа английского языка Скайларк — молодая и гостеприимная школа, которая располагается в городе Мсида на солнечном побережье острова Мальта. До нашей школы можно дойти пешком из Университета, Яхт Марины (стоянки для яхт) и также Слимы — самого большого и современного города. Мы расположены на главной автобусной магистрали, и Валетта (столица Мальты) и Сэйнт Джулианс (центр ночной жизни и развлечений) только в 5 минутах езды на автобусе."
21,SPRACH,Sprachcaffe,Sprachcaffe Languages Plus,http://www.sprachcaffe.com/russian/main.htm,"Обучение английскому, немецкому, испанскому, франузскому, китайскому, итальянскому и арабскому языками за рубежом","Sprachcaffe (Шпрахкафе) в пeреводе с немецкого языка означает ""языковое кафе"" (""Sprachе"" - ""язык"" и ""Сaffe"" - ""кафе""). Выбор данного названия подчёркивает наш стиль преподавания: со Sprachcaffe вы одновременно изучаете язык с носителями языка и наслаждаетесь отдыхом в интересных и красивых местах в любой точке мира. Индивидуально подобранная программа обучения позволит вам быстро и успешно изучить или улучшить знания иностранного языка. Общаясь и практикуя новый язык в непринужденной обстановке, вы непременно добъетесь наилучших результатов, узнаете много нового о стране, в которой вы выбрали языковой курс, и преобретете незаменимый опыт на долгие годы. Погрузитесь в мир Sprachcaffe Sprachreisen и убедитесь в правильности выбора своими глазами!"
22,INLING_DC,InlinguaDC,Inlingua Washington DC,http://www.inlinguaenglish.edu/,Обучение английскому,"Inlingua Washington DC introduced its brand new curriculum in January, 2013. With new course books, new materials, and designed to better meet the needs of our growing body of international students, Inlingua’s  Semi-intensive and Intensive Plus programs are a guaranteed success. In addition to a new curriculum, each level will be an eight-week course instead of the current four. 

With the new curriculum and schedule, students will have a more thorough English language study and practice. As before, students will study each level in intensive courses, integrating skills to improve listening, speaking, reading, and writing in a dynamic and student-centered learning environment.

Inlingua’s new English language program includes all levels from beginner to advanced, test preparation courses such as TOEFL, IELTS, SAT, GRE, and GMAT, and new advanced-level English for Special Purposes courses such as Business English and Legal English, all thoroughly updated and revised to meet the best and current standards of the industry. Students may begin their course on any Monday.

Come experience the new English program at Inlingua Washington DC! "
23,INLIN_VANC,Inlingua vancouver,Inlingua vancouver,http://ru.inlinguavancouver.com/,Обучение английскому,"Inlingua Ванкувер - часть Международных Языковых школ inlingua, предлагает высококачественное обучение английскому языку. Свяжитесь с нами и получите дополнительную информацию или регистрируйтесь в нашей школе.

На уроках разговорного английского языка в inlingua Ванкувер уделяется внимание определенным языковым навыкам, которые улучшат ваши разговорные навыки, грамматику, восприятие речи на слух и произношение, используя метод inlingua. Студенты могу выбрать специализированные занятия как, например, Беглость & Точность, Событийность, или введение в Деловой английский язык.

inlingua Ванкувер также может вам предложить полный курс изучения делового английского языка, подготовительные тесты, а также индивидуальные занятия с преподавателем."
24,INLING_NJ,INLINGUA PRINCETON,INLINGUA PRINCETON,http://inlinguaprinceton.com/,Обучение английскому,"inlingua is part of an international language training organization established in 1968 in Bern, Switzerland. There are over 350 Language Centers in 44 countries across Europe, Africa, Asia, America and the Middle East. Millions of private clients and employees of large and small companies, institutions and government offices have benefited from the inlingua method of language training"
25,INLING_MLT,INLINGUA MALTA,INLINGUA MALTA,http://www.inlinguamalta.ru/,Обучение английскому,
26,INLING_FL,INLINGUA FLORIDA,INLINGUA FLORIDA,http://www.inlingua-if.com/,Обучение английскому,"With more than 40 years of experience and 350 centers worldwide, inlingua is one of the largest providers of language and cross-cultural training, translations and interpreting, and specialized educational services in the world. We understand that people have different needs and goals. Therefore, we always work to provide a program that meets their special objectives and requirements.

We invite you to visit us and let our team of experts recommend the right language or test-preparation program for you. Our unique method guarantees full satisfaction and assures fast results. Whether you need to improve your English, learn Spanish or Chinese, or improve your test scores, we have the experience and resources to get you started speaking your desired language or making critical test-taking improvements from the very first day of class.

Our proven method and materials, unparalleled customer service, and uncompromising adherence to quality make it possible to provide our clients not only with solutions to their language training, translation and interpreting, or test preparation needs but also with unique learning experiences. In today’s diverse and competitive world, being able to speak your neighbors’ language or achieve a higher test score is essential for personal, business, and social success. We believe that your success is our success. This is the reason why thousands of people all over the world have chosen ourLanguage schools to help them reach their language-learning and test-preparation goals. We invite you to call or visit your local inlingua Language Center today to get started on the path to success."
